Name,0 - 0.25,0.25 - 0.5,0.5 - 1
APT,0,249,1862
CDO,6,56,398
COR,0,0,0
DUP,0,2,73
MOB,0,8,2
PCL,19,79,217
PUB,51,75,190
HSE,148,341,662
