Name,0 - 0.25,0.25 - 0.5,0.5 - 1
APT,1039,1375,1548
CDO,640,554,623
COR,0,0,3
DUP,34,43,379
MOB,10,19,37
PCL,190,261,337
PUB,0,201,598
HSE,483,880,1626
