Name,0 - 0.25,0.25 - 0.5,0.5 - 1
APT,507,645,816
CDO,111,375,468
COR,0,2,9
DUP,57,61,125
MOB,138,204,112
PCL,114,168,497
PUB,4,77,802
HSE,421,853,1414
