Name,0 - 0.25,0.25 - 0.5,0.5 - 1
APT,177,209,762
CDO,49,289,246
COR,0,0,0
DUP,2,2,132
MOB,0,0,0
PCL,3,12,41
PUB,0,0,0
HSE,7,121,564
