Name,0 - 0.25,0.25 - 0.5,0.5 - 1
APT,83,163,1011
CDO,0,247,431
COR,1,0,2
DUP,11,12,56
MOB,0,0,1
PCL,12,44,165
PUB,289,72,272
HSE,88,207,827
