Name,0 - 0.25,0.25 - 0.5,0.5 - 1
APT,1381,1664,2427
CDO,705,1088,642
COR,1,2,9
DUP,98,79,499
MOB,141,221,120
PCL,302,404,447
PUB,344,202,459
HSE,1022,1444,2603
